Soil_ID,latitude,longitude,Depth_cm,Texture,pH,Organic_Matter_%,Moisture_Content_%,Bulk_Density_g/cm³,Nitrogen_N_ppm,Phosphorus_P_ppm,Potassium_K_ppm,Cation_Exchange_Capacity_meq/100g,Electrical_Conductivity_dS/m,Soil_Color,Porosity_%,Water_Holding_Capacity_%
1283,10.73676303,85.24653264,6.813837972,clayey,4.034703005,2.368030696,21.47825672,1.53883153,50.64201669,42.03184045,168.8767116,11.36337603,1.648443846,brown,48.25430706,35.48939181
1313,8.566627708,83.78423401,7.916254307,loamy,6.487021889,1.963418959,33.30835795,1.110358176,131.1443695,44.67587534,319.7263991,21.62831122,4.527344286,black,49.34554558,41.07488005
1405,29.48481497,69.73022761,10.97273949,clayey,6.178156776,5.681481311,8.427918208,1.565076305,162.1362534,45.85175472,101.583839,24.21987131,2.681853838,red,40.46256823,35.77542956
1458,31.77240944,77.27175719,22.50101848,clayey,5.738539944,1.228432926,31.72040764,0.803552718,7.610918275,14.85999672,298.2697759,39.06983798,2.125433525,red,43.30619889,47.51284411
1471,12.06292698,69.88325417,14.29673522,clayey,5.548050564,7.416576598,19.29247292,1.029600939,135.392532,10.640386,377.7808705,31.40032339,1.734154471,red,48.35265433,59.72811491
1488,35.1840972,81.09366907,12.1448447,sandy,5.919011743,1.26293945,23.37167132,1.173441885,180.0577183,20.17164826,279.100344,34.55254924,2.164754231,brown,39.03895606,25.79805496
1509,19.4229167,92.75584764,18.52956586,clayey,8.569062684,5.273895218,6.976941081,1.429160552,131.4300926,33.20550361,347.3651332,28.15296273,4.362979534,yellow,40.58987874,22.97475673
1538,32.60121371,90.38754373,7.640026655,loamy,6.761431999,8.844722518,30.20063011,1.498164898,92.53962146,21.72291176,102.968521,22.03523392,3.023533864,brown,47.78669314,50.4179605
1591,34.63850724,74.5457813,20.92810096,sandy,8.456930529,5.515413733,33.81944954,0.891495521,175.520191,13.23580957,268.5615516,25.22102222,2.381370661,black,39.87032617,46.48962528
1612,27.15792643,88.29568499,8.807772494,loamy,5.930659973,6.167234327,5.864276649,1.312239898,176.2081027,11.6537719,297.9699861,15.87998607,4.964832255,yellow,26.99890444,23.69899619
1644,22.24542384,71.92420392,21.08066838,clayey,4.659447255,8.256292183,20.83514798,1.388023955,80.27679073,30.21417222,388.0762712,38.06370287,4.730005291,red,39.7246675,50.52015452
1732,22.30125053,81.89420381,28.73856416,clayey,4.326014965,6.412251914,6.147145104,0.841342603,195.2313926,39.21187127,153.1299218,24.60621925,1.650804087,black,39.43169156,52.54138604
1833,14.83607848,75.27544215,17.39064939,loamy,5.144075917,9.804527654,10.97517003,1.269348172,24.28414735,44.89354048,112.727696,21.53121905,3.564825606,brown,45.33843199,48.80239436
1836,28.16614932,92.06244039,7.423592023,loamy,5.584477892,8.243438879,26.39822463,1.101835143,126.0245442,41.34762956,221.3561625,15.16241888,1.298544548,yellow,44.2312752,30.04395056
1897,20.87738105,86.09671714,27.58452582,clayey,5.686120013,9.709442983,20.22745082,0.898092912,191.5346068,19.90154737,244.2666375,22.70878364,2.542438075,brown,42.59884375,59.30725674
2221,36.66347594,95.38501247,18.65760518,sandy,4.510160588,9.725611275,11.09310438,1.459635917,79.28450441,41.84596324,389.763084,25.23722031,1.50444888,black,43.88239175,22.26350332
2276,18.11719198,72.68672738,20.43120647,sandy,7.345229804,2.283719045,21.5297443,1.473824313,195.3434701,19.76897367,200.199584,33.60749372,0.460186791,red,47.73343423,20.10449113
2334,33.58618443,92.78598859,25.69360112,clayey,8.520733343,8.543433169,25.50901884,0.99614577,14.57796345,39.88505665,233.118554,39.13176218,2.721699899,yellow,27.43319737,47.70222465
2346,30.34307641,85.39815091,21.80804644,loamy,6.236043966,7.806311143,19.5394056,1.459931225,128.6122136,39.85658933,159.60215,14.09432388,4.286891906,black,36.7628983,22.23558317
2365,13.89597961,89.38420326,19.68283661,sandy,5.710785723,3.096935204,22.36561697,1.193542994,141.7689274,17.20069112,239.9147145,24.59651857,3.669644322,yellow,39.72194175,34.94478653
2390,33.91290333,73.83632927,20.71094047,loamy,7.033160587,5.713569502,29.56216193,1.568198138,79.3514466,31.96378797,258.0887967,12.5935388,1.185086436,brown,27.48649108,49.50639134
2521,34.65583768,88.54111142,29.95570345,sandy,8.80786842,8.466117823,12.83392821,1.324768438,13.21579814,33.40442873,351.5969014,20.97550741,3.474332692,brown,28.79068641,25.43333973
2932,28.98256576,76.55327197,7.434209907,loamy,8.500119562,6.418058648,27.26285321,1.171662929,105.6072534,46.52803797,163.7045153,15.62999311,0.377261794,yellow,26.17086122,39.00513299
3205,31.84934094,69.33720666,12.90922334,loamy,5.896782915,3.065309839,21.05155928,1.506747188,54.76318849,17.9141941,233.053645,39.65704261,0.456817654,black,48.16188072,43.18880012
3269,23.11676219,84.49178331,13.76468048,clayey,5.444910385,4.807351955,33.5321747,1.563888354,85.04526827,35.0531012,173.6830671,12.67720615,1.703915553,black,39.91103167,42.48963736
3324,15.06844579,86.37088643,29.47396527,loamy,6.046623766,4.808525806,10.23472267,0.955603387,67.54398822,42.03028816,336.8137412,31.53652333,3.033072884,black,38.09179981,27.48925001
3330,30.80834521,92.50107768,27.37465607,sandy,6.692468434,3.233446376,11.95926774,1.053451615,190.6727764,38.57607031,339.9117662,15.35128266,4.138710002,yellow,36.98791569,41.25327359
3342,14.18521581,81.26794431,13.63354218,loamy,8.392738163,3.266923748,13.8170196,0.902086821,181.4365374,41.06097536,353.8751482,18.12521227,2.91761511,brown,36.13838864,53.97857242
3426,21.51471601,77.25526728,9.186588495,sandy,8.490972307,7.140316813,22.25370213,0.927552021,115.4471136,39.60131895,303.787783,23.14276837,4.761285898,black,40.69826638,34.64217596
3453,31.9556905,86.14387945,19.83979437,clayey,4.900051312,7.479178928,17.93130679,1.370235696,11.09072284,18.23005278,205.1323782,29.93746836,4.587393784,black,45.50603006,59.78299885
3630,22.91920832,68.65615713,8.790160844,loamy,7.315532818,3.622968492,23.0192793,1.179157189,15.12256805,46.59871583,224.3660774,28.50047165,4.85532175,black,49.50818149,29.3759163
3862,20.12958362,73.47844965,16.23517326,loamy,8.068489628,1.028981533,17.13043509,1.536872585,127.9240685,46.96328126,284.0194292,39.15401176,4.083079261,black,36.24694202,46.2503071
3879,10.26729239,74.11454832,21.16078786,loamy,8.596958411,3.762466121,24.93481684,1.558766591,71.95044607,30.38890587,162.3808028,26.3460434,2.409180732,yellow,49.84538837,38.07679503
4031,30.82874854,69.02526668,14.42573751,sandy,8.002049465,4.95628134,33.34646254,1.379277581,25.63120287,16.22699789,179.0833741,34.66249731,2.223310678,red,44.61703143,50.30525157
4040,14.00526905,92.32379522,25.97104391,sandy,4.276374478,7.964726417,16.6689698,1.539880043,79.18106721,10.80979259,269.8367955,38.14140081,4.968879481,black,27.08780921,48.77085933
4052,34.03577767,74.00146512,7.096095758,sandy,7.988488133,2.537805825,32.86541077,1.165042377,58.85096154,48.42475698,135.7383498,37.80672385,4.365016982,red,35.24366622,40.83771421
4103,8.666136491,78.48268161,8.449863454,loamy,8.007382313,6.549007761,7.681806444,0.905753804,57.17640862,31.10218353,330.1281523,34.71219214,3.510178291,red,28.92276664,53.19738262
4127,32.33397283,88.87018035,6.665773964,sandy,4.642287065,9.472311864,24.82752288,0.880465861,136.920874,24.4300637,328.9507842,32.13436184,2.813012618,black,43.16216488,48.7442128
4177,14.88860088,90.82533959,11.26360669,sandy,7.942334086,2.325030457,31.28455128,0.848358828,37.75279721,49.3013285,136.9141159,30.64599866,1.914279985,red,45.15466293,21.73748132
4183,32.79450407,92.73707801,15.90180048,clayey,4.770198034,2.295532479,22.14242589,1.369188451,13.0264584,21.71000715,162.467739,24.28413399,0.489931248,yellow,40.80946766,56.14517118
4207,15.40147118,94.86880574,18.77071622,sandy,4.531270159,6.596732361,27.43214607,0.8733687,73.11872863,43.12899199,151.1359661,17.78236404,2.327891403,black,37.82483656,36.17208422
4249,15.21776039,93.71776738,9.546587884,sandy,6.392528565,9.989925989,11.69116595,1.019917007,76.29051677,15.76345012,194.6977635,31.651243,4.138765965,red,37.72437493,21.70849962
4288,13.85669024,76.38195438,8.111208797,clayey,8.279775017,7.851104083,27.25348073,1.56635536,188.6132496,14.15279585,122.8787606,31.31442558,4.978159302,brown,32.52748877,28.76525377
4431,31.95824493,95.91070158,7.829281718,sandy,7.843906989,2.373794493,19.73082193,1.27990383,180.4622738,20.26414239,338.3634346,34.66381454,3.578175301,brown,45.92176053,39.24671893
4432,8.447197677,69.72005553,11.25124843,sandy,5.782667369,8.470869544,30.11854783,1.03506008,67.37784184,12.42196219,131.9793037,23.122225,0.676431739,brown,38.45006186,38.55096252
4460,8.74591471,80.82251951,22.05996737,clayey,6.287438498,6.803350946,13.85338212,1.214168501,75.30140347,14.7535962,107.4861977,20.9362902,4.670244321,red,32.9354402,28.00885002
4475,30.45942539,84.54544722,21.56857421,loamy,6.333278719,3.900934914,32.10118625,0.910635466,124.3001693,25.18621329,359.7927656,11.94650021,4.899630802,red,27.25037774,32.54088344
4484,12.65164897,95.25210458,13.66389825,clayey,5.179832582,9.727645482,8.240613429,1.001179414,65.5262862,33.11307498,230.3938069,37.95848928,4.698693488,brown,41.82314806,54.1825576
4515,9.095702507,80.29163223,23.86560034,clayey,7.144219769,6.434675485,25.88669487,1.271885943,88.80107157,16.43804171,222.1383477,18.21521997,3.093567408,red,32.27896203,32.47650588
4876,25.70311269,72.20361154,13.93290675,loamy,4.043333485,2.698072265,28.84213744,1.582865199,127.3356725,22.87899183,235.1165844,20.28516564,1.673401298,red,39.27540852,59.35269327
4910,8.401907682,88.53458621,14.23435579,clayey,5.126548717,4.004308552,15.68620204,1.282005546,34.74054135,48.25103273,246.3700693,10.50204077,3.851160213,yellow,28.29220369,36.9488885
5131,10.65926372,93.7762322,19.5712761,loamy,5.571346884,4.752801265,5.707246433,1.289995431,144.3027945,12.94420976,340.8789835,35.54847574,3.453799539,brown,48.90843187,36.54562121
5203,25.69993443,84.6890853,14.9858329,loamy,8.221883791,7.433683889,11.14187917,1.333260814,182.3023697,47.94039658,247.6547858,35.17459573,1.019684833,brown,39.32597655,29.94770789
5227,14.99530467,75.54464669,18.53120854,clayey,8.387366512,5.552280883,15.64665969,1.082128984,133.6468807,29.66920256,392.4547927,37.03953695,2.870004942,brown,42.88637013,24.14633303
5326,14.13752728,79.361336,14.42155228,clayey,6.460086926,1.940768558,19.29980051,1.270265257,166.3784449,17.29236261,230.4138492,36.61226856,4.985086586,yellow,32.83108381,43.93929605
5377,13.76800257,92.31689513,18.4279477,clayey,5.660454776,9.341872783,7.269327608,1.363009874,122.6227285,44.72995113,171.4048929,35.09003462,2.906655516,red,39.3714326,25.98505751
5394,14.95903631,92.3984949,28.43927152,loamy,7.731029369,9.778721386,14.80052433,1.221601565,139.1243271,13.44247907,312.8091497,16.35241285,0.145047029,black,43.37462299,58.40330809
5426,13.77809819,86.12185198,22.15518244,sandy,6.988209553,3.679640245,8.23122232,1.133701942,136.019566,40.30869848,248.8000447,33.05449003,3.810896418,red,49.22172835,47.13778998
5500,23.7100353,87.36432017,15.49616103,sandy,7.169052211,8.618355287,18.99216833,0.922029292,168.1209464,38.4123928,332.8011079,25.32892189,0.209103415,red,40.24064095,43.12789733
5584,36.26983826,80.97418621,23.63554639,sandy,5.884392046,9.323521014,24.77904272,1.180122519,162.4357449,28.49783047,162.2559052,28.19407733,1.800320741,yellow,30.38609719,21.84916761
5641,13.0986498,81.0702267,17.2129825,sandy,8.129758362,4.730519639,10.48188391,1.101416086,173.9478017,18.07646463,115.4767457,30.03420967,4.357126447,black,37.51900229,54.65601817
5667,36.58990099,76.84176203,15.56616655,loamy,4.745954853,8.837046463,23.5448966,1.311936705,163.3037244,32.56874175,168.6287783,16.71731444,1.190426418,black,25.61017284,41.48574607
5694,16.86323158,91.80634132,20.54442929,clayey,8.186306629,3.281135347,32.41123815,1.044043963,93.13736175,43.5319373,105.0130526,21.98939589,1.485231931,red,38.1594551,56.00926143
5715,31.82760785,93.90586461,27.35972117,sandy,5.507823912,5.139255156,31.22544811,1.064252616,49.9970627,26.36027125,184.8704379,26.13432614,0.452830621,brown,37.78982576,30.43903804
5750,33.60215011,84.40119843,9.702686043,clayey,4.098274305,5.167401794,9.578838725,0.912717631,81.98162755,10.81508817,133.1099942,39.46044218,4.247466759,brown,35.39445595,42.44688325
5906,22.13172795,73.54509311,25.20576197,clayey,4.743477379,8.738748074,6.392502524,1.196801916,54.38240685,11.5067801,176.3606384,23.68076095,0.292295703,black,44.91500723,20.03859866
6151,14.35885952,86.22349331,23.47928338,sandy,7.284446985,8.422655962,16.76859101,1.01558689,11.52500185,31.26697841,344.9513277,25.29670836,2.310293526,red,32.33799593,57.05097502
6172,22.6514151,95.68104204,6.305379592,loamy,5.177294908,4.776438274,17.32244734,0.839418187,162.3505752,25.33810727,334.6754539,14.30341889,2.684798682,red,35.01330005,51.51185649
6381,18.09625828,81.52723081,24.00875161,sandy,7.079280828,4.945578649,26.55095638,1.088046978,158.8961891,30.27040284,119.6418195,37.9033809,0.249603966,brown,37.24369659,42.53058317
6481,16.64882625,92.86215688,26.16721826,clayey,7.354095176,1.965768031,18.92395222,1.172528153,187.0339584,13.66005973,264.9859506,33.0324127,4.42418293,black,38.44380148,36.95849027
6510,32.97160138,84.10031431,23.50370856,loamy,8.46457879,1.007828118,26.19147746,0.975893329,94.50391532,30.51316047,311.1001794,23.41979162,2.780304818,black,47.32322308,39.86102766
6568,10.82087694,79.56478163,26.87441313,clayey,4.745231859,1.913172843,10.94324315,0.860660005,27.59885017,20.67604744,392.7618193,11.03567073,4.203440896,red,40.56901361,33.3600607
6628,34.71811699,69.44712488,29.18019633,loamy,5.345362954,6.123919944,20.29841558,1.448109482,49.97205417,43.55759473,278.9544308,25.62906882,0.751110664,brown,27.97773098,58.68618196
6635,25.0874641,78.1006565,13.62947743,sandy,6.526980822,2.522021579,30.24248518,0.935854099,123.2275294,17.42659204,266.8339812,20.90930683,3.959261429,yellow,45.91208479,40.1273444
6701,12.8183252,91.15872149,8.758076024,clayey,6.195671037,7.232561362,23.25238228,1.447851371,153.4865841,26.24783587,144.4731144,18.28961713,3.218079793,black,34.25700319,44.31290335
6838,21.44185201,70.99168068,10.37221986,loamy,5.74347236,1.928094534,19.63483707,1.343658102,22.73341591,23.73501252,138.0587155,18.25793331,4.076686024,red,30.37617214,24.16579182
6930,24.86518245,75.51965917,18.04483346,loamy,4.187312559,2.938826039,24.07715784,1.484005037,81.68754925,45.8886542,365.5540027,23.85719134,0.373617441,red,46.19384771,52.1652858
7093,34.07027782,94.55108616,13.74789848,loamy,7.988183349,4.974865089,14.95072859,0.982241997,162.7481607,40.95811003,348.2995718,36.23060177,2.906879468,brown,39.96477906,54.57897777
7190,18.91282562,82.74594214,29.5832714,clayey,6.913357695,8.300110299,6.531644421,1.093032928,28.50185811,24.71697221,329.0492553,16.14905576,3.630940676,red,33.55344012,22.15658788
7372,23.98840512,81.96923932,6.725354388,clayey,4.77969382,3.199542544,30.31439856,1.192385862,146.1269392,27.60964791,273.3467139,14.82451187,4.558901951,black,44.07091015,44.93523967
7384,11.00703824,93.12975867,10.34750721,loamy,6.025645029,6.372464118,12.69509151,1.551805843,161.2743155,37.75738599,268.8414767,17.78002719,2.122099774,yellow,33.48488076,46.95050024
7407,30.53002618,74.81307866,20.6415074,sandy,4.138445429,1.312873207,30.69106514,1.041283437,165.7364475,37.74518283,345.7415014,16.35429919,4.253383444,black,44.35325257,24.80208603
7430,29.84119226,90.48711649,26.82006972,sandy,7.837538489,7.892481575,15.38808393,0.84711088,105.8973635,42.5215329,381.9262825,35.86606307,1.073162737,brown,32.54354214,24.51233596
7457,19.39729837,84.33033516,16.5710729,clayey,8.93531571,8.93751661,34.15044598,0.986681839,132.2163861,13.17712878,287.0930118,36.72756379,0.812613495,yellow,33.43102343,40.09208458
7494,12.50682986,70.06593622,15.06278136,clayey,6.157007894,4.855224635,11.31683335,1.236989399,77.86856523,22.61172147,225.6040231,19.97575712,2.2960716,yellow,33.37586754,26.70033361
7580,36.98939735,69.15312584,27.58346799,loamy,8.432385385,6.756746497,5.547892684,1.200239816,191.4833337,18.60781769,330.9812774,19.2881551,4.149868206,red,47.27960342,46.24303569
7626,27.10917419,95.98246771,15.45185432,loamy,4.214240016,5.126000328,16.90404901,0.95648999,115.105803,42.60160365,329.2523014,37.29055157,0.949992548,black,38.47578518,21.54807583
7791,8.80785441,91.17556094,6.137417995,sandy,8.147540192,7.740701351,18.0573531,1.243598024,114.7565609,31.1474546,130.715354,25.33944493,1.280270406,red,38.27398992,28.12546602
7829,10.92500665,91.60503293,7.389548734,clayey,4.378550851,7.401958221,15.61853707,1.453094209,20.77966447,48.38224059,121.0042999,12.19500042,0.133482853,yellow,31.61797026,58.08314166
7901,13.8636723,74.17895904,8.683281634,loamy,7.980728919,1.264617564,24.31496949,1.409763096,191.689267,36.58027482,141.2563068,20.22291869,3.896267941,yellow,35.53923969,59.21746368
8270,35.28565326,95.2690492,19.75080172,clayey,7.542811067,3.889042055,13.89039719,1.337126417,125.8849266,20.25659348,190.3523897,20.95575119,3.815764823,brown,28.84183794,49.06029472
8285,15.80317291,69.07538164,17.60677388,clayey,5.614356973,7.877350915,27.14845159,1.467831343,168.0823114,43.90005765,291.1973476,26.1740288,2.796985199,yellow,45.77463579,35.74625145
8383,29.32312542,76.67721895,29.32317299,loamy,8.380310708,4.571796717,33.67211067,1.471670139,121.2834451,24.77300832,160.9031406,29.1692296,1.905324124,brown,31.70437455,20.7700102
8446,34.03963467,88.46402775,21.15113432,loamy,8.240148788,3.384020219,26.23426087,1.440623054,40.97380569,29.32163214,272.9609142,22.8108806,0.640065847,yellow,45.37092189,29.44181309
8498,10.01108784,87.36757839,21.57352866,sandy,6.826596567,7.962719663,8.69804848,1.188565508,34.72234086,36.81462975,251.4270107,28.80980258,2.778949791,red,30.19298735,40.66526798
8533,10.26856551,86.22760318,21.77675003,clayey,8.082914187,9.644714521,14.20411696,1.215965458,113.4975301,16.7096243,138.5117637,10.6883881,2.131719913,black,35.70397916,22.88824048
8827,27.05345533,82.47092139,8.136965233,loamy,6.202833736,8.197398396,25.06514184,1.274715898,75.09284052,23.09845643,110.8295821,23.57059094,4.185579751,red,49.71914523,42.72121657
8841,13.22992529,78.46348276,7.733355334,sandy,5.151475208,4.332703062,17.63741088,1.401938976,32.67070434,48.10545126,300.4037711,37.87438717,4.868751786,black,41.60458777,20.70012044
8983,24.74016817,74.17852872,12.40876759,sandy,5.437751937,4.391960891,23.28832067,1.381326039,106.3767306,42.19624075,291.6826898,35.96987488,4.643976789,yellow,38.58810242,41.44308851
9101,13.75299926,76.64475366,10.14690814,clayey,8.767418069,4.28291138,22.62597753,1.314501916,163.5641954,11.670922,328.1707469,14.06005182,0.788259566,brown,31.04979767,59.67574864
9128,18.19487977,80.99663802,7.478796548,sandy,5.648476635,6.629558271,7.561968249,1.270448863,57.94057749,29.08777849,298.8178623,29.86522553,3.677083721,red,47.27671608,53.77685432
9244,36.70846332,95.24332205,14.2692119,clayey,4.411297384,2.635270579,25.85252135,1.406801489,141.4566619,38.71295723,122.3776124,31.61320275,2.969502044,brown,33.6772144,44.05757648
9515,22.27899432,87.08465306,29.08383546,sandy,8.194419271,2.186341788,25.0134363,0.94590139,40.94469843,27.9810187,144.1131901,20.69431258,3.630729648,yellow,37.9642488,52.51856005
9522,19.870896,78.11479738,15.21611245,loamy,6.852685227,4.008775621,28.51047793,1.250720541,5.154741878,33.55336993,122.410844,23.60571602,3.029309376,brown,41.65101814,33.11185959
9563,34.32618711,86.95779562,29.8388832,sandy,8.494313541,6.183000157,10.8052386,1.197318939,111.6011254,49.81277053,168.2567958,28.83105388,2.608996114,yellow,42.43037041,50.0315472
9611,35.94835389,92.40250922,9.147178358,loamy,8.230312356,7.046416867,31.72221723,0.830856699,52.1529855,30.84247362,306.8996278,37.82005239,4.45273735,red,31.5209,51.36320591
9617,33.82175619,96.03933117,21.35874903,sandy,5.076251565,5.538141654,23.80789815,0.841999407,91.05161364,38.64122527,227.8217239,27.84290553,3.289196273,yellow,47.19639701,54.61640929
9710,9.883770089,95.71391043,22.9117463,loamy,7.905219303,7.034451217,31.4570123,1.103758333,48.1345263,24.69465446,189.9226896,39.50405166,1.49776662,black,25.62421707,40.2643984
9805,10.7789698,88.92262314,23.41543109,sandy,5.795935933,4.689965257,20.03713787,1.050847256,67.60777061,25.97222952,189.1496089,12.20823701,4.360924653,black,37.43207017,29.16578274
9808,22.53807609,71.92351942,6.596029887,clayey,5.038173678,4.661492558,18.53645462,1.198245193,40.82352304,40.59952534,303.8756717,31.50860152,4.756310533,black,26.73831909,30.85866651
9880,9.865216489,81.11714839,9.989885308,clayey,6.307940339,8.64765406,26.96649554,1.229464134,27.18393738,13.28522015,220.6304713,15.39252078,3.676490421,red,48.99507525,22.49034207
9938,31.88294794,80.7681453,13.21496868,loamy,8.586503736,1.469034073,15.87021473,0.957799238,165.4089434,33.8394809,144.3143763,25.54182896,4.684506199,brown,40.76442778,32.72449471
10191,23.47216669,75.83808943,11.17631468,loamy,6.861338153,7.961492688,12.26622366,1.182849158,82.93879137,42.17577967,190.461974,23.10628221,1.218826692,red,35.83832991,30.44823501
10210,23.28388967,72.22821775,8.897154905,loamy,5.16866052,2.967230617,21.11449858,1.138124658,81.25852332,39.31704743,362.2623533,37.99473549,3.192437438,brown,31.14635441,51.48682589
10408,16.30613839,77.59840684,10.44022994,sandy,5.794432043,5.104153149,12.65609296,1.085802424,107.8814858,49.85821035,226.9197648,32.10489195,3.317002607,brown,31.79678538,44.11554172
10489,22.97157732,73.6377233,23.92641154,loamy,7.68750019,1.825796568,28.13652851,1.158764782,26.02187282,17.15037795,238.1121942,39.3513991,2.492002435,red,32.24405184,52.10343622
10527,14.85969067,88.47805931,16.02022162,sandy,7.838295312,9.118218614,7.459680107,0.949714067,171.9755723,47.16262325,146.7625181,23.49731338,4.813241989,yellow,28.73399024,38.44546778
10660,11.66729651,92.54239186,26.76530833,clayey,7.165233231,4.773513054,11.59523466,1.041902382,198.0080829,28.3294998,172.495379,31.59489078,3.689945002,red,32.01502758,52.17768436
10725,34.87642566,91.24745562,14.83764951,clayey,7.743045697,2.79894808,5.814729435,1.531840888,193.8026575,45.79764403,238.8551711,15.29989492,0.952914776,red,42.36801801,35.46036686
11000,11.5352859,91.52613822,20.89730239,clayey,5.504451672,7.932225388,19.09152725,1.422715674,124.7137674,22.79190245,168.2173339,21.08810396,3.981464156,black,42.20509124,52.20077102
11135,11.37565664,87.2961908,12.08948974,clayey,4.018076619,1.905324888,8.456352171,1.377874775,123.0116544,45.95002114,125.2582947,18.03014479,2.412963548,brown,49.57964925,38.26685684
11227,36.47287914,88.41530722,26.28646517,clayey,5.476090593,7.285270265,24.46519286,1.283859431,169.9061718,27.6391472,145.8006426,16.60733627,1.041816066,black,31.25676569,49.87220685
11251,9.679311773,92.26832698,15.34185233,loamy,6.414245054,2.548364803,24.25382075,1.151882301,198.8307068,28.18769063,174.6493761,15.43852478,3.129505221,yellow,28.39418448,24.45654979
11267,31.35588749,95.42793193,17.85738312,loamy,4.409106026,7.301743844,27.91067989,1.336851937,40.3221481,27.48555254,140.4206782,30.44609246,2.124830799,red,38.51141864,44.85115675
11273,11.40907332,89.25530426,12.2079318,loamy,6.928793831,5.293378787,31.0090981,1.343570642,168.9649698,30.19611155,365.9147223,10.60045201,2.909923122,black,38.51212502,27.39993876
11321,18.52358606,88.37315783,27.56959726,sandy,5.11125717,1.793051712,14.78965124,1.52689722,115.1256403,35.40722452,390.1932975,17.88656587,3.33233019,yellow,30.3690298,20.93283974
11452,21.9387535,84.92973448,22.46607974,clayey,4.611732276,2.874238562,29.22925184,1.280209478,180.6606145,35.64767679,342.92042,28.88343782,3.54625289,black,34.31183637,27.73226855
11477,19.7763723,76.17929537,10.2698111,clayey,8.444830279,1.696863923,24.92633888,1.035093397,112.5307886,45.36545948,345.80866,38.21499152,2.733224918,yellow,30.56627814,58.14439149
